price,log_price,price_per_person,has_wireless_internet,has_heating,has_kitchen,has_essentials,has_smoke_detector,has_air_conditioning,has_tv,has_internet,has_washer,has_dryer
69.0,4.248495242049359,34.5,1,1,1,1,1,1,0,1,1,1
73.0,4.30406509320417,36.5,1,1,0,1,1,1,0,1,1,1
85.0,4.454347296253507,85.0,1,1,1,0,0,0,1,1,1,1
120.0,4.795790545596741,60.0,1,1,1,1,1,1,1,1,1,1
125.0,4.836281906951478,62.5,1,1,0,0,1,0,0,0,1,1
70.0,4.2626798770413155,70.0,1,1,1,1,1,0,0,1,0,0
100.0,4.61512051684126,50.0,1,1,1,1,1,0,0,0,0,0
61.0,4.127134385045092,30.5,1,1,1,1,1,0,1,1,1,1
125.0,4.836281906951478,31.25,1,1,1,1,1,1,1,1,1,1
100.0,4.61512051684126,50.0,1,1,1,0,0,0,0,0,1,1
27.0,3.332204510175204,27.0,1,1,1,1,1,0,0,0,1,1
80.0,4.394449154672439,40.0,1,1,0,1,1,1,1,0,1,1
85.0,4.454347296253507,42.5,0,0,0,0,0,0,0,0,0,0
75.0,4.330733340286331,25.0,1,1,0,1,1,1,0,0,0,0
57.0,4.060443010546419,57.0,1,1,1,0,0,0,0,1,0,0
100.0,4.61512051684126,50.0,1,1,1,1,1,1,1,1,1,1
40.0,3.713572066704308,40.0,1,0,1,0,0,0,0,0,1,1
100.0,4.61512051684126,100.0,1,1,1,1,1,0,1,1,1,1
70.0,4.2626798770413155,35.0,1,1,1,1,1,0,0,1,0,0
190.0,5.25227342804663,47.5,1,1,1,1,1,0,0,0,1,0
149.0,5.0106352940962555,49.666666666666664,1,1,1,1,0,0,1,1,1,1
168.0,5.1298987149230735,28.0,1,1,1,1,1,1,1,1,1,1
205.0,5.327876168789581,41.0,1,1,1,1,1,1,1,1,1,1
65.0,4.189654742026425,32.5,1,1,1,1,1,0,0,1,0,0
75.0,4.330733340286331,37.5,1,1,1,0,1,0,1,1,0,0
117.0,4.770684624465665,29.25,0,1,1,1,0,1,1,0,1,1
429.0,6.063785208687608,53.625,1,1,1,1,1,1,1,1,1,1
95.0,4.564348191467836,47.5,1,1,1,0,1,0,1,1,1,1
69.0,4.248495242049359,34.5,1,1,1,1,0,0,0,0,1,1
85.0,4.454347296253507,42.5,1,0,0,0,1,1,0,1,1,1
69.0,4.248495242049359,34.5,1,1,1,1,1,1,1,1,0,0
165.0,5.111987788356544,82.5,1,1,0,0,1,1,1,1,0,0
150.0,5.017279836814924,37.5,1,1,1,1,1,1,1,1,1,1
267.0,5.5909869805108565,38.142857142857146,1,1,1,1,1,1,0,1,1,1
87.0,4.477336814478207,43.5,1,1,1,1,1,1,0,1,1,1
62.0,4.143134726391533,31.0,1,1,1,1,0,1,0,0,1,1
110.0,4.709530201312334,55.0,0,1,1,1,1,0,1,0,1,1
250.0,5.5254529391317835,41.666666666666664,1,1,1,0,1,0,1,1,1,1
150.0,5.017279836814924,25.0,1,1,1,1,1,1,0,1,1,1
300.0,5.707110264748875,42.857142857142854,1,1,1,1,1,1,1,1,1,1
119.0,4.787491742782046,59.5,1,1,0,1,1,1,1,1,1,1
175.0,5.170483995038151,87.5,1,1,1,1,1,1,1,1,0,0
195.0,5.278114659230517,32.5,1,1,1,1,1,1,1,1,1,1
145.0,4.983606621708336,36.25,1,1,1,1,1,1,1,1,0,0
200.0,5.303304908059076,50.0,1,1,1,1,1,1,1,1,1,1
90.0,4.51085950651685,90.0,1,1,1,1,1,0,0,0,1,1
210.0,5.351858133476067,52.5,1,1,1,1,1,1,1,1,1,1
75.0,4.330733340286331,37.5,1,1,1,1,1,0,0,0,1,1
46.0,3.8501476017100584,23.0,1,1,1,1,1,0,0,1,1,1
75.0,4.330733340286331,37.5,1,1,1,1,1,0,1,1,1,0
500.0,6.2166061010848646,83.33333333333333,1,1,1,1,1,1,1,1,0,0
60.0,4.110873864173311,30.0,1,1,1,1,1,0,1,1,1,1
130.0,4.875197323201151,26.0,1,1,1,1,1,1,1,1,1,1
190.0,5.25227342804663,31.666666666666668,1,1,1,1,1,1,0,1,1,1
100.0,4.61512051684126,50.0,1,1,1,0,1,0,0,1,1,1
450.0,6.111467339502679,75.0,1,1,1,0,1,1,1,1,1,1
399.0,5.991464547107982,49.875,1,1,1,1,1,1,1,1,0,0
350.0,5.860786223465865,70.0,1,1,1,1,0,1,1,1,1,1
200.0,5.303304908059076,50.0,1,1,1,1,1,1,1,1,1,1
99.0,4.605170185988092,49.5,1,1,1,1,1,1,1,1,0,0
295.0,5.69035945432406,49.166666666666664,1,1,1,1,1,1,1,1,1,1
107.0,4.68213122712422,53.5,1,1,1,1,0,1,1,1,0,0
69.0,4.248495242049359,69.0,1,1,1,1,1,0,0,0,1,1
76.0,4.343805421853684,38.0,1,1,1,1,1,1,1,1,1,1
75.0,4.330733340286331,37.5,1,1,1,1,1,0,1,1,0,0
55.0,4.02535169073515,55.0,1,1,1,1,1,0,0,1,1,1
65.0,4.189654742026425,32.5,1,1,1,1,1,0,0,0,1,1
59.0,4.0943445622221,29.5,1,1,1,1,0,1,0,0,0,0
88.0,4.48863636973214,44.0,1,1,1,1,1,1,0,0,1,1
164.0,5.10594547390058,32.8,1,0,1,1,1,1,0,0,1,1
90.0,4.51085950651685,45.0,1,1,1,1,1,1,1,1,1,1
185.0,5.225746673713202,46.25,1,1,1,1,1,1,1,1,0,0
80.0,4.394449154672439,40.0,1,1,1,1,1,0,1,1,0,0
105.0,4.663439094112067,52.5,1,1,0,1,1,1,0,0,1,1
90.0,4.51085950651685,45.0,1,1,0,1,0,0,1,1,0,0
100.0,4.61512051684126,50.0,1,1,1,1,1,1,1,1,0,0
100.0,4.61512051684126,50.0,1,1,1,0,1,1,1,1,1,1
200.0,5.303304908059076,40.0,1,1,1,1,1,0,1,1,1,1
300.0,5.707110264748875,37.5,1,1,1,1,1,0,1,1,1,1
60.0,4.110873864173311,30.0,1,0,1,1,1,0,1,1,0,0
319.0,5.768320995793772,53.166666666666664,1,1,1,1,1,1,0,1,0,0
85.0,4.454347296253507,42.5,1,1,1,1,1,0,1,1,1,1
70.0,4.2626798770413155,35.0,1,1,1,1,1,1,0,1,1,1
50.0,3.9318256327243257,25.0,1,1,1,1,1,0,1,1,1,0
119.0,4.787491742782046,29.75,1,1,1,1,1,0,0,1,0,0
125.0,4.836281906951478,41.666666666666664,1,1,1,1,1,0,0,1,1,1
53.0,3.9889840465642745,26.5,1,1,1,1,1,0,0,0,1,1
125.0,4.836281906951478,31.25,1,1,1,1,1,1,0,1,1,1
199.0,5.298317366548036,33.166666666666664,1,1,1,1,1,0,1,0,1,1
205.0,5.327876168789581,51.25,1,1,1,1,0,1,1,1,1,1
114.0,4.74493212836325,22.8,1,1,1,1,1,1,0,0,1,1
75.0,4.330733340286331,37.5,1,1,1,1,1,1,0,1,1,1
185.0,5.225746673713202,92.5,1,1,1,1,1,0,0,0,0,0
75.0,4.330733340286331,37.5,1,1,1,1,1,1,1,1,1,1
180.0,5.198497031265826,45.0,1,1,1,1,1,1,1,1,1,1
70.0,4.2626798770413155,35.0,1,1,1,1,1,0,0,1,1,1
150.0,5.017279836814924,75.0,1,1,1,1,1,1,1,1,0,0
120.0,4.795790545596741,30.0,1,1,1,1,1,1,0,1,1,1
92.0,4.532599493153256,46.0,1,1,1,1,1,1,1,1,1,1
84.0,4.442651256490317,42.0,1,1,0,1,1,1,1,1,0,0
200.0,5.303304908059076,50.0,1,1,1,1,1,1,0,1,1,1
115.0,4.7535901911063645,57.5,1,1,0,1,1,1,0,0,0,0
49.0,3.912023005428146,49.0,1,1,1,0,1,0,0,1,1,1
95.0,4.564348191467836,47.5,1,1,0,1,1,1,1,1,1,1
275.0,5.62040086571715,45.833333333333336,1,1,1,0,0,0,1,0,1,1
230.0,5.442417710521793,25.555555555555557,1,1,1,1,1,1,1,1,1,1
130.0,4.875197323201151,32.5,1,1,1,1,1,1,1,0,0,0
192.0,5.262690188904886,38.4,1,1,1,1,1,1,1,1,1,1
175.0,5.170483995038151,35.0,1,1,1,1,1,1,1,1,1,1
70.0,4.2626798770413155,35.0,1,1,1,1,1,1,0,1,1,1
65.0,4.189654742026425,32.5,1,1,1,1,1,0,0,1,1,1
100.0,4.61512051684126,50.0,1,0,1,1,1,0,0,0,1,1
185.0,5.225746673713202,61.666666666666664,1,1,1,1,1,1,1,0,1,1
250.0,5.5254529391317835,25.0,1,1,1,1,1,0,1,1,1,1
110.0,4.709530201312334,55.0,1,1,1,0,1,0,0,1,0,0
150.0,5.017279836814924,30.0,1,1,1,0,1,1,0,1,1,1
168.0,5.1298987149230735,28.0,1,1,1,1,1,1,1,1,1,1
60.0,4.110873864173311,30.0,1,1,1,1,1,1,1,1,1,1
59.0,4.0943445622221,29.5,1,1,1,1,1,0,1,1,1,1
60.0,4.110873864173311,30.0,0,1,1,1,1,1,0,1,1,1
145.0,4.983606621708336,36.25,1,1,1,1,0,0,1,1,1,1
80.0,4.394449154672439,40.0,1,1,0,1,1,1,0,1,0,0
114.0,4.74493212836325,38.0,1,1,1,1,1,1,1,1,1,1
170.0,5.14166355650266,85.0,1,1,1,0,1,1,0,0,1,1
240.0,5.484796933490655,40.0,1,1,1,0,1,1,1,0,1,1
150.0,5.017279836814924,37.5,1,1,1,0,1,1,0,0,1,1
69.0,4.248495242049359,34.5,1,1,1,1,1,1,1,1,1,1
80.0,4.394449154672439,40.0,1,1,1,1,0,1,1,1,1,1
85.0,4.454347296253507,42.5,1,1,1,0,1,0,0,0,0,0
75.0,4.330733340286331,18.75,1,1,0,1,1,0,0,0,0,0
150.0,5.017279836814924,37.5,1,1,1,0,1,0,0,1,1,1
70.0,4.2626798770413155,35.0,1,1,0,1,1,1,0,1,1,1
80.0,4.394449154672439,26.666666666666668,1,1,1,1,1,1,1,1,0,1
225.0,5.420534999272286,32.142857142857146,1,1,1,1,1,1,1,0,1,1
225.0,5.420534999272286,56.25,1,1,1,1,1,1,1,1,1,1
178.0,5.187385805840755,44.5,1,1,1,0,0,1,1,1,1,1
175.0,5.170483995038151,43.75,1,1,1,1,1,1,1,1,1,1
109.0,4.700480365792417,36.333333333333336,1,1,1,1,1,1,1,0,0,0
383.0,5.950642552587727,38.3,1,1,1,1,1,1,0,1,1,1
90.0,4.51085950651685,45.0,1,1,0,1,1,1,0,0,1,1
99.0,4.605170185988092,16.5,1,1,1,1,1,0,0,0,1,1
50.0,3.9318256327243257,25.0,1,1,1,1,1,1,0,0,0,0
300.0,5.707110264748875,75.0,1,1,1,0,1,1,1,1,1,1
184.0,5.220355825078324,30.666666666666668,1,0,1,1,1,0,1,1,1,1
80.0,4.394449154672439,40.0,1,1,1,1,1,1,0,0,1,1
85.0,4.454347296253507,42.5,1,1,0,1,1,1,0,0,0,0
150.0,5.017279836814924,75.0,1,1,1,1,1,0,1,1,0,0
100.0,4.61512051684126,50.0,1,1,1,1,1,1,1,0,1,1
100.0,4.61512051684126,50.0,1,1,0,1,0,1,1,1,0,0
84.0,4.442651256490317,42.0,1,1,1,1,1,1,1,1,1,1
130.0,4.875197323201151,32.5,1,1,1,1,1,1,1,1,1,1
76.0,4.343805421853684,38.0,1,1,0,1,1,1,0,0,0,0
100.0,4.61512051684126,50.0,1,1,1,1,1,1,1,0,1,1
70.0,4.2626798770413155,35.0,1,1,1,1,0,0,0,1,1,0
125.0,4.836281906951478,62.5,1,1,1,1,1,1,1,1,1,1
70.0,4.2626798770413155,35.0,1,1,1,1,1,1,0,1,1,0
75.0,4.330733340286331,75.0,1,1,1,1,1,0,1,0,0,0
170.0,5.14166355650266,56.666666666666664,1,1,0,1,1,1,1,0,1,1
95.0,4.564348191467836,47.5,1,1,1,1,1,1,1,1,1,1
70.0,4.2626798770413155,35.0,1,1,1,1,0,1,1,0,1,1
299.0,5.703782474656201,49.833333333333336,1,1,1,1,1,0,1,1,1,1
70.0,4.2626798770413155,70.0,1,1,1,0,1,0,0,1,0,0
155.0,5.049856007249537,25.833333333333332,1,1,1,1,1,1,1,1,1,1
250.0,5.5254529391317835,62.5,1,1,1,0,1,0,1,0,1,1
115.0,4.7535901911063645,57.5,1,1,0,1,1,0,0,1,0,0
70.0,4.2626798770413155,23.333333333333332,1,1,0,1,1,0,0,1,1,1
135.0,4.912654885736052,45.0,1,1,1,1,1,1,0,1,1,1
120.0,4.795790545596741,60.0,1,1,1,1,1,1,1,1,1,1
130.0,4.875197323201151,32.5,1,1,1,1,1,1,1,1,1,1
29.0,3.4011973816621555,9.666666666666666,1,0,1,1,1,0,0,0,0,0
68.0,4.23410650459726,34.0,1,1,1,1,1,0,1,1,1,1
300.0,5.707110264748875,50.0,1,1,1,1,1,1,1,1,1,1
50.0,3.9318256327243257,50.0,1,1,1,1,1,0,0,1,1,0
119.0,4.787491742782046,59.5,1,1,1,1,1,1,1,1,1,1
46.0,3.8501476017100584,23.0,1,1,1,1,1,1,1,1,1,1
295.0,5.69035945432406,49.166666666666664,1,1,1,1,1,1,1,1,1,1
130.0,4.875197323201151,26.0,1,1,1,0,1,1,1,1,0,0
180.0,5.198497031265826,30.0,1,1,1,1,1,1,1,1,1,1
300.0,5.707110264748875,42.857142857142854,1,1,1,1,1,1,1,0,1,1
200.0,5.303304908059076,40.0,1,1,1,1,1,1,1,1,1,1
136.0,4.919980925828125,68.0,1,1,1,1,1,1,1,0,0,0
100.0,4.61512051684126,50.0,1,1,1,1,1,1,1,1,0,0
88.0,4.48863636973214,17.6,1,1,0,1,1,1,1,1,0,0
95.0,4.564348191467836,31.666666666666668,0,0,0,0,1,0,0,0,0,0
135.0,4.912654885736052,67.5,1,1,1,1,1,0,1,0,1,1
