ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat,listing_id
2016-10-05,300.0,299.99999960689485,300.00000036939105,300.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,182049
2016-10-06,300.0,299.9999996202755,300.0000003796523,300.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,182049
2016-10-07,300.0,299.9999996202382,300.0000003723183,300.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,182049
2016-10-08,300.0,299.99999963219784,300.0000003997645,300.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,182049
2016-10-09,300.0,299.9999996265911,300.0000003558054,300.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,182049
2016-10-10,300.0,299.9999996054473,300.00000040601196,300.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,182049
2016-10-11,300.0,299.9999996176483,300.00000036398694,300.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,182049
2016-10-12,300.0,299.99999962062014,300.00000037024483,300.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,182049
2016-10-13,300.0,299.99999961325216,300.000000392035,300.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,182049
2016-10-14,300.0,299.99999962336886,300.0000003795158,300.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,182049
2016-10-15,300.0,299.9999996155138,300.00000040495223,300.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,182049
2016-10-16,300.0,299.9999996102712,300.00000037689324,300.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,182049
2016-10-17,300.0,299.99999959776085,300.0000003854597,300.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,182049
2016-10-18,300.0,299.99999958920193,300.00000038234055,300.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,182049
2016-10-19,300.0,299.9999996117861,300.0000003716888,300.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,182049
2016-10-20,300.0,299.9999995862701,300.00000037850685,300.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,182049
2016-10-21,300.0,299.9999996220746,300.0000003859154,300.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,182049
2016-10-22,300.0,299.99999961743765,300.0000003933343,300.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,182049
2016-10-23,300.0,299.9999996035033,300.00000040740946,300.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,182049
2016-10-24,300.0,299.9999996183271,300.0000003829599,300.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,182049
2016-10-25,300.0,299.99999960258776,300.0000003611332,300.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,182049
2016-10-26,300.0,299.9999996392936,300.00000036556844,300.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,182049
2016-10-27,300.0,299.99999963346477,300.00000039278416,300.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,182049
2016-10-28,300.0,299.99999956932294,300.0000003881604,300.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,182049
2016-10-29,300.0,299.9999996347222,300.0000004049558,300.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,182049
2016-10-30,300.0,299.9999995844208,300.000000388794,300.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,182049
2016-10-31,300.0,299.99999960510837,300.00000037992635,300.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,182049
2016-11-01,300.0,299.9999996469656,300.00000038057317,300.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,182049
2016-11-02,300.0,299.9999996390593,300.00000039019636,300.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,182049
2016-11-03,300.0,299.99999960985724,300.0000003847573,300.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,182049
2016-11-04,300.0,299.999999583317,300.00000037815045,300.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,182049
2016-11-05,300.0,299.99999960430426,300.0000003684898,300.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,182049
2016-11-06,300.0,299.9999996337898,300.00000039257776,300.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,182049
2016-11-07,300.0,299.9999996098736,300.00000036458437,300.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,182049
2016-11-08,300.0,299.99999962289183,300.00000039009,300.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,182049
2016-11-09,300.0,299.9999995716998,300.0000003705323,300.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,182049
2016-11-10,300.0,299.9999996299438,300.000000363766,300.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,182049
2016-11-11,300.0,299.999999609762,300.00000037497966,300.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,182049
2016-11-12,300.0,299.9999996274799,300.0000004091027,300.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,182049
2016-11-13,300.0,299.9999996157,300.00000037216773,300.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,182049
2016-11-14,300.0,299.99999961122694,300.0000003952715,300.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,182049
2016-11-15,300.0,299.9999996180716,300.00000041283766,300.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,182049
2016-11-16,300.0,299.999999621229,300.00000036635413,300.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,182049
2016-11-17,300.0,299.99999960307434,300.0000003959017,300.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,182049
2016-11-18,300.0,299.9999996332174,300.0000003901126,300.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,182049
2016-11-19,300.0,299.999999624661,300.0000003790821,300.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,182049
2016-11-20,300.0,299.9999996026425,300.0000003884156,300.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,182049
2016-11-21,300.0,299.999999618813,300.00000039691787,300.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,182049
2016-11-22,300.0,299.99999960998963,300.0000004021701,300.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,182049
2016-11-23,300.0,299.99999962095296,300.00000039366694,300.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,182049
2016-11-24,300.0,299.9999996221269,300.0000003578378,300.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,182049
2016-11-25,300.0,299.99999961601526,300.00000035454167,300.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,182049
2016-11-26,300.0,299.9999995893951,300.0000003864395,300.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,182049
2016-11-27,300.0,299.99999962849614,300.0000003890077,300.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,182049
2016-11-28,300.0,299.9999996054334,300.0000003886292,300.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,182049
2016-11-29,300.0,299.9999996391559,300.0000003829877,300.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,182049
2016-11-30,300.0,299.99999962338154,300.00000035954673,300.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,182049
2016-12-01,300.0,299.99999961283265,300.0000003992215,300.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,182049
2016-12-02,300.0,299.9999996215156,300.00000036962126,300.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,182049
2016-12-03,300.0,299.99999961519774,300.0000003930738,300.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,182049
2016-12-04,300.0,299.9999996358929,300.0000003698869,300.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,182049
2016-12-05,300.0,299.999999605133,300.00000038555396,300.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,182049
2016-12-06,300.0,299.9999996100869,300.0000003727926,300.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,182049
2016-12-07,300.0,299.9999995872705,300.00000038929534,300.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,182049
2016-12-08,300.0,299.99999962368656,300.00000035698304,300.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,182049
2016-12-09,300.0,299.9999996472129,300.0000004112677,300.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,182049
2016-12-10,300.0,299.999999613778,300.0000003926171,300.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,182049
2016-12-11,300.0,299.99999961663536,300.00000039388595,300.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,182049
2016-12-12,300.0,299.9999996173726,300.00000040102765,300.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,182049
2016-12-13,300.0,299.9999996083134,300.0000003932142,300.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,182049
2016-12-14,300.0,299.99999963475045,300.0000003923657,300.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,182049
2016-12-15,300.0,299.9999996190462,300.00000038317734,300.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,182049
2016-12-16,300.0,299.9999996115054,300.00000038612933,300.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,182049
2016-12-17,300.0,299.99999964217994,300.00000038879375,300.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,182049
2016-12-18,300.0,299.9999996322823,300.0000003657488,300.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,182049
2016-12-19,300.0,299.99999961114804,300.00000039648296,300.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,182049
2016-12-20,300.0,299.9999996155042,300.00000039442205,300.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,182049
2016-12-21,300.0,299.99999959641093,300.00000038834355,300.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,182049
2016-12-22,300.0,299.99999963315366,300.00000036314856,300.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,182049
